timestamp,source,level,ip_address,user,message,details,log_type
2024-01-15 11:25:07,webserver-01,INFO,10.0.1.10,api_user,Bulk data request,records=10000 endpoint=/api/export,web_server
2024-01-15 11:30:52,auth-server,INFO,192.168.1.105,jack.wilson,New user created,created_by=admin role=analyst,authentication
2024-01-15 11:35:41,firewall-01,ERROR,203.0.113.150,unknown,IPS signature triggered,sig_id=HTTP_SQL_INJECTION src=203.0.113.150,firewall
2024-01-15 11:40:26,endpoint-02,INFO,192.168.2.10,bob.jones,Software installed,software=Python 3.11 version=3.11.0,endpoint
2024-01-15 11:45:13,network-monitor,INFO,10.0.0.0/24,system,Bandwidth utilization normal,avg_usage=35% peak=67%,network
2024-01-15 12:00:08,webserver-02,CRITICAL,45.33.33.1,anonymous,Remote code execution attempt,CVE=2021-44228 log4shell=true,web_server
2024-01-15 12:05:55,auth-server,INFO,192.168.1.106,kate.martin,Session expired,session_id=abc123 duration=3600s,authentication
2024-01-15 12:10:44,firewall-01,WARNING,192.168.1.201,admin,Admin access from new location,src=10.20.30.40 country=RU,firewall
2024-01-15 12:15:29,endpoint-06,CRITICAL,192.168.6.30,liam.johnson,Privilege escalation detected,from=user to=SYSTEM process=cmd.exe,endpoint
2024-01-15 12:20:16,network-monitor,ERROR,172.16.0.55,system,Suspicious DNS tunneling,domain=data.exfil.badactor.com bytes=45MB,network
2024-01-15 12:25:03,webserver-01,INFO,192.168.1.108,mia.davis,Report generated,type=security_audit pages=47,web_server
2024-01-15 12:30:48,auth-server,ERROR,198.51.100.100,anonymous,Credential stuffing detected,attempts=500 unique_users=200,authentication
2024-01-15 12:35:37,firewall-01,INFO,192.168.1.202,sysadmin,Backup completed,size=15GB destination=nas01,firewall
2024-01-15 12:40:22,endpoint-07,WARNING,192.168.7.35,noah.garcia,Screen capture activity,interval=30s process=unknown.exe,endpoint
2024-01-15 12:45:11,network-monitor,INFO,10.0.0.0/24,system,IDS signatures updated,count=15234 version=2024.01.15,network
2024-01-15 13:00:00,webserver-02,WARNING,203.0.113.200,anonymous,Rate limit exceeded,ip=203.0.113.200 requests=1000/min,web_server
2024-01-15 13:05:47,auth-server,INFO,192.168.1.109,olivia.martinez,2FA enrolled,method=hardware_token user=olivia.martinez,authentication
2024-01-15 13:10:36,firewall-01,CRITICAL,104.21.45.100,unknown,C2 beacon detected,freq=60s dst=104.21.45.100 port=443,firewall
2024-01-15 13:15:21,endpoint-08,ERROR,192.168.8.40,peter.robinson,Data exfiltration attempt,dst=pastebin.com bytes=2MB,endpoint
2024-01-15 13:20:08,network-monitor,WARNING,10.0.0.99,system,ARP spoofing detected,fake_mac=00:11:22:33:44:55 target=gateway,network
2024-01-15 13:25:55,webserver-01,INFO,192.168.1.110,quinn.thomas,File uploaded,name=report.pdf size=2.3MB type=application/pdf,web_server
2024-01-16 08:00:11,firewall-01,INFO,192.168.1.100,admin,Morning policy check,rules_active=247 blocked_24h=1523,firewall
2024-01-16 08:05:44,webserver-01,WARNING,45.33.32.157,anonymous,Automated scanner detected,user_agent=Nikto/2.1.6,web_server
2024-01-16 08:10:29,auth-server,INFO,192.168.1.111,rachel.scott,Login successful,src_ip=192.168.1.111 2fa=true,authentication
2024-01-16 08:15:03,endpoint-09,WARNING,192.168.9.45,sam.white,Persistence mechanism found,regkey=HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,endpoint
2024-01-16 08:20:52,network-monitor,INFO,10.0.0.0/24,system,Scheduled scan completed,hosts=254 open_ports=1247,network
2024-01-16 08:25:41,webserver-02,ERROR,198.51.100.123,anonymous,Path traversal blocked,path=../../../etc/shadow,web_server
2024-01-16 08:30:18,auth-server,WARNING,192.168.1.112,tom.anderson,Impossible travel detected,loc1=New York loc2=London time_diff=1h,authentication
2024-01-16 08:35:07,firewall-01,INFO,192.168.1.203,sysadmin,Certificate renewed,domain=internal.company.com days_valid=365,firewall
2024-01-16 08:40:55,endpoint-10,CRITICAL,192.168.10.50,uma.jackson,Rootkit detected,type=bootkit affected=MBR,endpoint
2024-01-16 09:00:33,network-monitor,WARNING,172.16.0.66,system,Unusual port usage,port=4444 protocol=TCP connections=150,network
2024-01-16 09:05:22,webserver-01,INFO,10.0.1.15,api_user,Health check,status=healthy response_time=45ms,web_server
2024-01-16 09:10:09,auth-server,INFO,192.168.1.113,victor.harris,Role updated,user=victor.harris old_role=user new_role=analyst,authentication
2024-01-16 09:15:58,firewall-01,WARNING,209.85.231.99,unknown,Phishing domain blocked,domain=paypa1.com dst=192.168.1.55,firewall
2024-01-16 09:20:43,endpoint-01,INFO,192.168.1.55,jane.smith,Antivirus scan completed,scanned=45231 threats=0,endpoint
2024-01-16 09:25:28,network-monitor,CRITICAL,10.0.0.88,system,Botnet C2 traffic,protocol=IRC dst=212.47.254.145 port=6667,network
2024-01-16 09:30:17,webserver-02,WARNING,203.0.113.201,anonymous,Slow HTTP attack,connections=500 rate=1byte/s,web_server
2024-01-16 09:35:04,auth-server,ERROR,198.51.100.200,anonymous,Token replay attack,token_age=expired replay_detected=true,authentication
2024-01-16 09:40:51,firewall-01,INFO,192.168.1.204,admin,IPS updated,signatures=45231 version=2024.1.16,firewall
2024-01-16 09:45:38,endpoint-11,WARNING,192.168.11.55,wendy.clark,Clipboard monitoring detected,process=clip_spy.exe,endpoint
2024-01-16 10:00:27,network-monitor,INFO,10.0.0.0/24,system,Traffic analysis complete,anomalies=3 normal=97%,network
2024-01-16 10:05:14,webserver-01,CRITICAL,45.33.32.158,anonymous,Zero-day exploit attempt,CVE=CVE-2024-0001 patched=false,web_server
2024-01-16 10:10:03,auth-server,INFO,192.168.1.114,xander.lewis,Session created,session_id=xyz789 expires=8h,authentication
2024-01-16 10:15:52,firewall-01,ERROR,192.168.1.205,admin,Rule conflict detected,rule1=1041 rule2=1042 action=alert,firewall
2024-01-16 10:20:39,endpoint-12,INFO,192.168.12.60,yara.robinson,File integrity check,files_checked=12450 modified=2,endpoint
2024-01-16 10:25:26,network-monitor,WARNING,10.0.0.111,system,Encrypted traffic anomaly,dst=185.220.101.34 tls_ver=1.0,network
2024-01-16 10:30:13,webserver-02,INFO,192.168.1.115,zoe.walker,Dashboard accessed,page=security_overview role=analyst,web_server
2024-01-16 10:35:02,auth-server,WARNING,192.168.1.116,admin,Admin action logged,action=delete_user target=temp_user,authentication
2024-01-16 10:40:51,firewall-01,INFO,192.168.1.0/24,system,Daily report generated,incidents=15 blocked=8921,firewall
2024-01-16 11:00:44,endpoint-13,ERROR,192.168.13.65,alice.wong,Process injection detected,src_process=word.exe dst_process=lsass.exe,endpoint
2024-01-16 11:05:33,network-monitor,INFO,172.16.0.0/16,system,VPN tunnel stats,active_sessions=45 bandwidth=230Mbps,network
2024-01-16 11:10:20,webserver-01,WARNING,203.0.113.202,anonymous,Credential phishing page detected,url=/login-verify fake=true,web_server
2024-01-16 11:15:09,auth-server,INFO,192.168.1.117,bob.jones,Password policy enforced,strength=strong user=bob.jones,authentication
2024-01-16 11:20:58,firewall-01,CRITICAL,45.33.32.159,unknown,Ransomware callback blocked,domain=decrypt-files.onion port=80,firewall
2024-01-16 11:25:45,endpoint-14,WARNING,192.168.14.70,charlie.brown,Shadow copy deletion,command=vssadmin delete shadows process=cmd.exe,endpoint
2024-01-16 11:30:34,network-monitor,ERROR,10.0.0.122,system,DNS hijacking detected,original=8.8.8.8 replaced=192.0.2.1,network
2024-01-16 11:35:21,webserver-02,INFO,192.168.1.118,dave.miller,Patch applied,CVE=CVE-2023-44487 status=success,web_server
2024-01-16 11:40:10,auth-server,INFO,192.168.1.119,emily.chen,Audit log reviewed,reviewer=admin period=7days events=4521,authentication
2024-01-16 11:45:59,firewall-01,WARNING,198.51.100.201,unknown,GeoIP block triggered,country=KP dst=192.168.1.206,firewall
2024-01-16 12:00:48,endpoint-15,CRITICAL,192.168.15.75,frank.lee,Data wiper executed,files_deleted=45231 method=overwrite,endpoint
2024-01-16 12:05:35,network-monitor,WARNING,10.0.0.133,system,Packet capture detected,interface=eth0 process=wireshark.exe,network
2024-01-16 12:10:24,webserver-01,ERROR,45.33.32.160,anonymous,SSRF attempt blocked,target=169.254.169.254 path=/api/request,web_server
2024-01-16 12:15:13,auth-server,INFO,192.168.1.120,grace.kim,SAML auth success,idp=okta user=grace.kim,authentication
2024-01-16 12:20:02,firewall-01,INFO,192.168.1.0/24,system,Vulnerability scan authorized,scanner=nessus target=192.168.1.0/24,firewall
2024-01-16 12:25:51,endpoint-16,WARNING,192.168.16.80,henry.taylor,Screen recording started,process=obs.exe duration=ongoing,endpoint
2024-01-16 12:30:38,network-monitor,CRITICAL,10.0.0.144,system,Data exfil via ICMP,payload_size=65535 dst=104.21.45.200,network
2024-01-16 12:35:27,webserver-02,INFO,192.168.1.121,iris.wang,Security report exported,format=PDF rows=2341 classification=confidential,web_server
2024-01-16 12:40:16,auth-server,ERROR,198.51.100.202,unknown,JWT forgery attempt,alg_changed=from_RS256_to_none,authentication
2024-01-16 12:45:05,firewall-01,INFO,192.168.1.207,sysadmin,Maintenance window started,duration=2h changes=patching,firewall
