id,subject,sender,body,is_phishing,indicators
39,Your domain is expiring,domains@godaddy-renew.xyz,"URGENT: Your domain expires in 3 days! Renew now to avoid losing it: http://domain-renew-now.xyz/pay",1,urgency|spoofed_domain|payment_request
40,Conference registration,events@techconference.org,"Your registration for TechConf 2024 is confirmed. See you there!",0,none
41,Password expiry notification,itsupport@company-helpdesk.net,"Your corporate password expires today. Update via: http://corp-pwd-reset.xyz/update",1,urgency|suspicious_link|credential_request
42,Feedback request,customer-service@amazon.com,"How was your recent purchase? Leave a review and help other customers.",0,none
43,You've been selected for survey,$500-survey@marketing-rewards.xyz,"Complete this 5-minute survey and earn $500! Claim: http://survey-cash.xyz/earn",1,prize_scam|suspicious_domain|suspicious_link
44,Zoom meeting invitation,host@company.com,"You're invited to join our Zoom meeting at 2pm. Meeting ID: 123-456-789.",0,none
45,Suspicious login attempt,security@microsoft.com,"We detected a sign-in attempt from an unfamiliar location. If this wasn't you, secure your account.",0,none
46,Bank card suspended,fraud@hsbc-fraud-alert.net,"Your HSBC card is suspended due to suspicious use. Reactivate: http://hsbc-card-reactivate.xyz",1,spoofed_domain|urgency|suspicious_link
47,New comment on your post,notifications@social-platform.com,"Someone commented on your recent post. Click to view.",0,none
48,Delivery confirmation,tracking@ups.com,"Your package has been delivered. Track at ups.com/track.",0,none
49,Claim $10,000 compensation,legal@class-action-lawsuit.xyz,"You may be entitled to $10,000 in compensation. Submit claim: http://lawsuit-claim.xyz/file",1,financial_scam|suspicious_domain|suspicious_link
50,Annual performance review,hr@company.com,"It's time for your annual review. Please complete the self-assessment form by Friday.",0,none
